Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints,Year
220,Nathan Stupar,NO,ILB,16,41,10,1.5,1.0,11.0,1,2,1,2,2,0,4.3,68.6,2016
221,Orlando Scandrick,DAL,CB,12,39,7,2.0,2.0,2.0,2,8,1,2,0,0,5.6,67.7,2016
221,Sean Spence,TEN,ILB,15,35,15,3.0,3.0,22.0,5,3,0,2,0,0,4.5,67.7,2016
223,Michael Bennett,SEA,DE,11,23,11,12.5,4.5,36.0,14,0,0,0,0,0,6.1,67.6,2016
224,Bradley Roby,DEN,CB,16,34,5,0.0,1.0,0.0,0,8,2,1,0,2,4.2,67.5,2016
224,Tavon Young,BAL,CB,16,41,9,2.0,0.0,0.0,1,8,2,0,1,0,4.2,67.5,2016
226,Michael Johnson,CIN,DE,16,32,13,6.5,3.5,19.0,10,3,0,0,0,0,4.2,66.9,2016
226,Darron Lee,NYJ,ILB,13,42,28,3.5,1.0,4.0,3,2,0,0,0,0,5.1,66.9,2016
228,Julius Peppers,GB,DE,16,15,8,6.5,7.5,53.5,12,3,0,1,1,0,4.2,66.85,2016
229,Danny Trevathan,CHI,ILB,9,49,17,1.5,1.0,7.0,1,4,0,0,0,0,7.4,66.7,2016
230,Robert Mathis,IND,OLB,14,15,5,7.0,5.0,45.0,6,0,0,3,2,1,4.7,66.0,2016
230,Rashaan Melvin,IND,CB,15,51,8,1.0,0.0,0.0,0,7,0,1,0,0,4.4,66.0,2016
230,Eli Apple,NYG,CB,14,41,10,4.0,0.0,0.0,0,7,1,1,1,0,4.7,66.0,2016
233,Chris Long,NE,DE,16,22,13,6.0,4.0,24.0,12,3,0,1,1,0,4.1,65.9,2016
234,Johnathan Hankins,NYG,DT,16,28,15,9.5,3.0,18.5,10,0,0,1,0,0,4.1,65.85,2016
235,Kevin Byard,TEN,FS,16,43,12,5.0,1.0,8.0,5,4,0,0,0,0,4.1,65.8,2016
