Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year
194,Seth Roberts,OAK,WR,15,0,0,0,5,0,45,494,2,0,4.1,61.9,2018
194,CJ Uzomah,CIN,TE,16,0,0,0,0,0,43,439,3,0,3.9,61.9,2018
196,Rashaad Penny,SEA,RB,14,0,0,0,419,2,9,75,0,0,4.4,61.4,2018
197,Giovani Bernard,CIN,RB,12,0,0,0,211,3,35,218,0,0,5.1,60.9,2018
198,Alfred Morris,SF,RB,12,0,0,0,428,2,8,73,0,1,5.0,60.1,2018
199,Chris Conley,KC,WR,16,0,0,0,0,0,32,334,5,2,3.7,59.4,2018
200,Corey Clement,PHI,RB,11,0,0,0,259,2,22,192,0,0,5.4,59.1,2018
201,Spencer Ware,KC,RB,13,0,0,0,246,2,20,224,0,0,4.5,59.0,2018
202,Javorius Allen,BAL,RB,14,0,0,0,110,3,35,196,2,1,4.2,58.6,2018
203,Dallas Goedert,PHI,TE,16,0,0,0,0,0,33,334,4,0,3.6,57.4,2018
204,Theo Riddick,DET,RB,14,0,0,0,171,0,61,384,0,0,4.0,55.5,2018
205,Jarius Wright,CAR,WR,16,0,0,0,39,0,43,447,1,1,3.4,54.6,2018
206,Jesse James,PIT,TE,16,0,0,0,0,0,30,423,2,0,3.4,54.3,2018
207,Jamison Crowder,WAS,WR,9,0,0,0,30,0,29,388,2,0,6.0,53.8,2018
208,Gerald Everett,LAR,TE,16,0,0,0,16,0,33,320,3,0,3.4,53.6,2018
209,Greg Olsen,CAR,TE,9,0,0,0,0,0,27,291,4,0,5.9,53.1,2018
209,Aldrick Robinson,MIN,WR,14,0,0,0,0,0,17,231,5,0,3.8,53.1,2018
211,Demarcus Robinson,KC,WR,16,0,0,0,0,0,22,288,4,0,3.3,52.8,2018
212,Benjamin Watson,NO,TE,16,0,0,0,0,0,35,400,2,0,3.2,52.0,2018
213,Keelan Cole,JAX,WR,16,0,0,0,0,0,38,491,1,2,3.2,51.1,2018
214,Vernon Davis,WAS,TE,14,0,0,0,0,0,25,367,2,0,3.6,50.7,2018
215,Chris Thompson,WAS,RB,10,0,0,0,178,0,41,268,1,0,5.1,50.6,2018
215,Taywan Taylor,TEN,WR,13,0,0,0,0,0,37,466,1,1,3.9,50.6,2018
217,Zach Zenner,DET,RB,8,0,0,0,265,3,7,56,0,0,6.3,50.1,2018
218,Phillip Dorsett,NE,WR,16,0,0,0,29,0,32,290,3,0,3.1,49.9,2018
219,Devontae Booker,DEN,RB,16,0,0,0,183,1,38,275,0,1,3.1,49.8,2018
220,Josh Johnson,WAS,QB,4,590,3,4,120,1,0,0,0,0,12.4,49.6,2018
221,Bilal Powell,NYJ,RB,7,0,0,0,343,0,11,110,1,1,7.0,49.3,2018
222,Quincy Enunwa,NYJ,WR,11,0,0,0,0,0,38,449,1,1,4.4,48.9,2018
223,Blake Jarwin,DAL,TE,16,0,0,0,0,0,27,307,3,0,3.0,48.7,2018
224,Dontrelle Inman,IND,WR,9,0,0,0,0,0,28,304,3,0,5.4,48.4,2018
224,Kenneth Dixon,BAL,RB,6,0,0,0,333,2,6,51,0,1,8.1,48.4,2018
226,Randall Cobb,GB,WR,9,0,0,0,0,0,38,383,2,1,5.4,48.3,2018
227,Jimmy Garoppolo,SF,QB,3,718,5,3,33,0,0,0,0,0,16.0,48.02,2018
228,Antonio Gates,LAC,TE,16,0,0,0,0,0,28,333,2,1,3.0,47.3,2018
229,Jaron Brown,SEA,WR,15,0,0,0,0,0,14,166,5,0,3.1,46.6,2018
230,Ty Montgomery,BAL,RB,13,0,0,0,188,1,25,235,0,1,3.6,46.3,2018
231,Breshad Perriman,CLE,WR,10,0,0,0,2,0,16,340,2,0,4.6,46.2,2018
232,Justin Jackson,LAC,RB,9,0,0,0,206,2,15,135,0,0,5.1,46.1,2018
233,Darren Sproles,PHI,RB,6,0,0,0,120,1,15,160,2,0,7.7,46.0,2018
234,Kapri Bibbs,GB,RB,12,0,0,0,103,3,16,115,1,0,3.8,45.8,2018
235,Jordan Thomas,HOU,TE,16,0,0,0,0,0,20,215,4,0,2.8,45.5,2018
236,Ian Thomas,CAR,TE,16,0,0,0,0,0,36,333,2,0,2.8,45.3,2018
237,Tajae Sharpe,TEN,WR,16,0,0,0,16,0,26,316,2,0,2.8,45.2,2018
238,Jacquizz Rodgers,TB,RB,16,0,0,0,106,1,38,304,0,1,2.8,45.0,2018
239,Nick Vannett,SEA,TE,15,0,0,0,0,0,29,269,3,0,3.0,44.9,2018
240,Jordan Wilkins,IND,RB,16,0,0,0,336,1,16,85,0,2,2.8,44.1,2018
241,Kelvin Benjamin,KC,WR,15,0,0,0,0,0,25,380,1,0,2.9,44.0,2018
242,Jonnu Smith,TEN,TE,13,0,0,0,0,0,20,258,3,0,3.4,43.8,2018
243,Jermaine Kearse,NYJ,WR,14,0,0,0,0,0,37,371,1,0,3.1,43.1,2018
243,Chase Edmonds,ARI,RB,16,0,0,0,208,2,20,103,0,0,2.7,43.1,2018
245,Geronimo Allison,GB,WR,5,0,0,0,0,0,20,303,2,0,8.5,42.3,2018
246,Jordan Matthews,PHI,WR,14,0,0,0,0,0,20,300,2,0,3.0,42.0,2018
247,Allen Hurns,DAL,WR,16,0,0,0,0,0,20,295,2,0,2.6,41.5,2018
248,Tyrod Taylor,CLE,QB,4,473,2,2,125,1,0,0,0,0,10.4,41.42,2018
249,Tyler Higbee,LAR,TE,16,0,0,0,0,0,24,292,2,0,2.6,41.2,2018
250,Ricky Seals-Jones,ARI,TE,15,0,0,0,0,0,34,343,1,0,2.7,40.3,2018
251,Jeff Heuerman,DEN,TE,11,0,0,0,0,0,31,281,2,0,3.6,40.1,2018
252,Zach Pascal,IND,WR,16,0,0,0,10,0,27,268,2,0,2.5,39.8,2018
253,Ryan Grant,IND,WR,14,0,0,0,0,0,35,334,1,0,2.8,39.4,2018
254,Jakeem Grant,MIA,WR,10,0,0,0,5,0,21,268,2,0,3.9,39.3,2018
255,Paul Richardson,WAS,WR,7,0,0,0,9,0,20,262,2,0,5.6,39.1,2018
256,Cody Kessler,JAX,QB,5,709,2,2,123,0,0,0,0,3,7.7,38.66,2018
257,Jay Ajayi,PHI,RB,4,0,0,0,184,3,5,20,0,1,9.6,38.4,2018
258,Kyle Juszczyk,SF,FB,16,0,0,0,30,0,30,324,1,2,2.3,37.4,2018
259,Tim Patrick,DEN,WR,16,0,0,0,17,0,23,315,1,1,2.3,37.2,2018
260,Terrelle Pryor,BUF,WR,8,0,0,0,-1,0,16,252,2,0,4.6,37.1,2018
261,Devante Parker,MIA,WR,11,0,0,0,0,0,24,309,1,0,3.4,36.9,2018
262,Daesean Hamilton,DEN,WR,14,0,0,0,0,0,30,243,2,0,2.6,36.3,2018
263,Laquon Treadwell,MIN,WR,15,0,0,0,0,0,35,302,1,0,2.4,36.2,2018
264,Rex Burkhead,NE,RB,8,0,0,0,186,0,14,131,1,1,4.5,35.7,2018
265,Ted Ginn,NO,WR,5,0,0,0,26,0,17,209,2,1,7.1,35.5,2018
266,Rhett Ellison,NYG,TE,14,0,0,0,0,0,25,272,1,0,2.5,35.2,2018
267,Keke Coutee,HOU,WR,6,0,0,0,0,0,28,287,1,0,5.8,34.7,2018
268,Pierre Garcon,SF,WR,8,0,0,0,0,0,24,286,1,0,4.3,34.6,2018
269,Jack Doyle,IND,TE,6,0,0,0,0,0,26,245,2,1,5.8,34.5,2018
269,Isaiah McKenzie,BUF,WR,8,0,0,0,66,2,18,179,0,1,4.3,34.5,2018
