Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
136,Jabrill Peppers,CLE,FS,16,52,27,5,1,11,4,5,1,0,2,0,5.6,89.6
137,Bud Dupree,PIT,OLB,16,30,12,10.5,5.5,39.5,13,3,1,1,0,1,5.6,89.45
138,Jeff Heath,DAL,SS,16,63,22,4,0,0,0,5,1,1,0,0,5.6,89.3
139,Tony Jefferson,BAL,SS,14,53,21,6,1,7,2,6,1,1,1,0,6.4,89.2
139,Adrian Amos,CHI,FS,16,59,14,2,1,2,1,9,2,0,1,0,5.6,89.2
141,Larry Ogunjobi,CLE,DT,16,33,19,12.5,5.5,51.5,15,0,0,1,0,0,5.6,89.15
142,Minkah Fitzpatrick,MIA,SS,16,51,29,2.5,0,0,0,9,2,0,0,1,5.6,89
143,Shaq Thompson,CAR,OLB,14,50,29,5,3.5,23,6,1,0,1,0,0,6.3,88.8
143,Leonard Floyd,CHI,OLB,16,34,15,9,4,33,11,4,1,0,1,1,5.6,88.8
143,Kyler Fackrell,GB,OLB,16,29,13,12.5,10.5,68,13,0,0,0,0,0,5.6,88.8
146,De'Vondre Campbell,ATL,OLB,16,62,31,4,1.5,11,3,0,0,0,0,0,5.5,88.6
147,Jalen Ramsey,JAX,CB,16,62,3,2,0,0,0,13,3,0,0,0,5.5,87.5
148,Adoree` Jackson,TEN,CB,16,67,6,2.5,0,0,0,10,2,0,0,0,5.4,86.5
149,Sheldon Rankins,NO,DT,16,26,15,11,8,61,15,1,0,1,0,0,5.4,85.6
150,Darron Lee,NYJ,ILB,12,43,31,5,0,0,2,5,3,0,0,1,7.1,85.5
150,Nick Vigil,CIN,OLB,11,62,22,5.5,0,0,1,3,0,0,1,0,7.8,85.5
152,Jordan Jenkins,NYJ,OLB,16,24,11,9,7,59.5,15,0,0,2,2,0,5.3,85.45
153,AJ Klein,NO,OLB,16,42,27,8,2,14,4,3,1,0,2,0,5.3,84.9
154,Devon Kennard,DET,OLB,15,30,16,9,7,67,14,0,0,0,1,0,5.6,84.7
155,Stephon Tuitt,PIT,DE,14,27,18,9,5.5,45.5,20,4,0,0,0,0,6,84.55
156,Clayton Geathers,IND,SS,12,61,28,1.5,0,0,2,3,0,1,0,0,7,84.5
157,Lamarcus Joyner,LAR,FS,15,58,20,3,1,11,1,3,1,0,1,0,5.6,84.1
157,Samson Ebukam,LAR,OLB,16,25,15,7,3,16,6,1,1,3,2,2,5.3,84.1
159,Josh Norman,WAS,CB,16,41,23,1.5,0,0,0,9,3,3,1,0,5.2,84
160,DJ Swearinger,ARI,FS,15,41,10,1.5,1,12,2,10,4,2,1,0,5.6,83.7
161,Sean Davis,PIT,FS,15,59,21,0,0,0,1,7,1,1,0,0,5.6,83.5
162,Mario Addison,CAR,DE,16,20,15,15,9,49,12,0,0,2,0,0,5.2,83.4
