Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
231,Ezekiel Ansah,DET,DE,14,17,13,7,8,72,11,1,0,2,0,0,5.1,71.7
232,Cedric Thornton,PHI,DT,16,48,12,7,1,6,1,2,0,1,0,0,4.5,71.6
233,Rey Maualuga,CIN,ILB,13,52,23,0,1,0,1,2,1,0,0,0,5.5,71.5
233,Cortez Allen,PIT,CB,14,42,7,1,0,0,0,13,2,0,0,1,5.1,71.5
233,George Iloka,CIN,FS,16,41,25,0,0,0,0,6,1,2,1,0,4.5,71.5
236,Cullen Jenkins,NYG,DE,16,25,6,7,5,24,12,0,0,2,2,0,4.5,71.4
236,Brian Cushing,HOU,ILB,7,37,11,7,2,9,3,2,1,1,0,1,10.2,71.4
238,Patrick Peterson,ARI,CB,16,40,2,0,0,0,0,13,3,0,0,0,4.4,71.18
239,DJ Swearinger,HOU,FS,16,50,16,3,0,0,0,4,1,1,0,0,4.4,71
240,Ryan Mundy,NYG,SS,16,43,27,4,1,4,1,1,1,0,1,0,4.4,70.9
241,Paul Kruger,CLE,DE,16,26,21,5,4.5,13,8,5,0,2,0,0,4.4,70.8
242,Ike Taylor,PIT,CB,16,52,11,1,0,0,0,12,0,0,0,0,4.4,70.5
242,Steve Gregory,NE,FS,14,50,29,0,1,0,2,2,0,0,0,0,5,70.5
244,Clinton McDonald,SEA,DE,15,19,16,7,5.5,44,13,2,1,0,1,0,4.7,70.4
245,Joe Mays,HOU,ILB,14,40,25,6,1,7,4,3,0,0,0,0,5,70.2
246,Tramaine Brock,SF,CB,16,33,2,0,0,0,0,15,5,0,0,1,4.4,70
246,Keenan Lewis,NO,CB,16,39,8,1,0,0,0,11,4,1,0,0,4.4,70
246,Spencer Paysinger,NYG,OLB,16,58,8,0,1,0,2,1,0,0,1,0,4.4,70
246,David Amerson,WAS,CB,16,39,8,1,0,0,1,10,2,1,0,1,4.4,70
250,Will Blackmon,JAX,FS,15,31,10,3,1,9,0,10,1,2,1,1,4.7,69.9
250,Barkevious Mingo,CLE,OLB,15,27,13,9,5,24,12,3,0,0,0,0,4.7,69.9
252,Sio Moore,OAK,ILB,15,36,10,6,4.5,30,7,0,0,1,0,0,4.6,69
253,Cory Redding,IND,DE,15,23,14,11,4.5,15,10,2,0,0,1,0,4.6,68.5
254,Jairus Byrd,BUF,FS,11,37,11,1,1,9,1,6,4,1,0,0,6.2,68.4
255,Akeem Ayers,TEN,OLB,16,37,11,5,1,5,7,5,1,1,0,0,4.2,68
255,Johnthan Banks,TB,CB,16,49,6,1,0,0,0,6,3,0,0,0,4.2,68
257,William Hayes,LAR,DE,14,21,7,9,5,24,10,3,1,0,2,0,4.8,67.9
258,Malcolm Smith,SEA,OLB,15,30,20,5,1,8,1,4,2,1,0,1,4.5,67.8
259,Corey Wootton,CHI,DE,16,27,7,7,3.5,21,7,5,0,1,2,0,4.2,67.6
260,Mike Adams,DEN,FS,16,45,15,1,0,0,1,7,1,0,1,0,4.2,67.5
260,Zack Bowman,CHI,CB,16,42,3,2,0,0,0,7,3,0,0,1,4.2,67.5
262,Russell Allen,JAX,OLB,14,45,18,4,1,4,1,0,0,0,2,0,4.8,67.4
263,Akiem Hicks,NO,DE,16,29,27,8,4.5,28,5,0,0,0,0,0,4.2,67.3
264,Aqib Talib,NE,CB,13,35,6,1,0,0,0,13,4,1,0,0,5.2,67
265,Corey Peters,ATL,DT,15,29,17,6,5,41,7,2,0,0,0,0,4.4,66.6
