Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
25,Brandon Lloyd,LAR,WR,15,150,70,46.7,966,5,44,6.4,13.8,0,0,0,0,1,0,8.4,126.6
26,Jabar Gaffney,WAS,WR,16,115,68,59.1,947,5,45,8.2,13.9,0,0,0,0,1,1,7.7,122.7
27,DeSean Jackson,PHI,WR,15,104,58,55.8,961,4,62,9.2,16.6,7,41,5.9,0,1,1,8.1,122.2
28,Reggie Wayne,IND,WR,16,132,75,56.8,960,4,56,7.3,12.8,0,0,0,0,0,0,7.5,120
29,Darrius Heyward-Bey,OAK,WR,15,115,64,55.7,975,4,58,8.5,15.2,0,0,0,0,1,1,8,119.5
30,Malcom Floyd,LAC,WR,12,70,43,61.4,856,5,52,12.2,19.9,0,0,0,0,0,0,9.6,115.6
31,Lance Moore,NO,WR,14,73,52,71.2,627,8,47,8.6,12.1,0,0,0,0,0,0,8.2,114.7
32,Santonio Holmes,NYJ,WR,16,101,51,50.5,654,8,38,6.5,12.8,3,27,9,0,2,1,7.1,114.1
33,Jeremy Maclin,PHI,WR,13,96,63,65.6,859,5,59,8.9,13.6,1,1,1,0,1,1,8.8,114
34,Michael Crabtree,SF,WR,15,115,73,63.5,880,4,52,7.7,12.1,0,0,0,0,0,0,7.5,112
35,Plaxico Burress,NYJ,WR,16,96,45,46.9,612,8,30,6.4,13.6,0,0,0,0,0,0,6.8,109.2
36,Eric Decker,DEN,WR,16,94,44,46.8,612,8,56,6.5,13.9,1,1,1,0,1,1,6.7,107.3
37,Anquan Boldin,BAL,WR,14,106,57,53.8,887,3,56,8.4,15.6,0,0,0,0,0,0,7.6,106.7
38,James Jones,GB,WR,16,55,38,69.1,635,7,70,11.5,16.7,0,0,0,0,1,0,6.6,105.5
39,Denarius Moore,OAK,WR,13,76,33,43.4,618,5,78,8.1,18.7,5,61,12.2,1,1,0,8,103.9
40,Doug Baldwin,SEA,WR,16,85,51,60,788,4,55,9.3,15.5,1,-2,-2,0,0,0,6.4,102.6
41,Miles Austin,DAL,WR,10,73,43,58.9,579,7,53,7.9,13.5,2,3,1.5,0,1,0,10,100.2
41,Nate Burleson,DET,WR,16,110,73,66.4,757,3,47,6.9,10.4,11,85,7.7,0,1,1,6.3,100.2
41,Deion Branch,NE,WR,15,90,51,56.7,702,5,63,7.8,13.8,0,0,0,0,0,0,6.7,100.2
41,Titus Young,DET,WR,16,85,48,56.5,607,6,57,7.1,12.6,2,15,7.5,0,1,0,6.3,100.2
45,Robert Meachem,NO,WR,16,60,40,66.7,620,6,67,10.3,15.5,4,18,4.5,0,0,0,6.2,99.8
