Rank,Name,Team,Position,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPoints,PositionRank,StaticRank
229,Sean Davis,PIT,FS,NO,13,null,6.27,DB18,229
231,Joey Bosa,LAC,DE,BAL,1,null,6.25,DL7,231
231,Myles Jack,JAX,ILB,MIA,28,null,6.25,LB42,231
233,Dion Lewis,TEN,RB,WAS,12,13,6.24,RB37,233
233,Kai Forbath,JAX,K,MIA,28,26,6.24,K29,233
233,Zane Gonzalez,ARI,K,LAR,20,25,6.24,K30,233
236,Jordan Whitehead,TB,FS,DAL,7,null,6.22,DB19,236
237,John Ross,CIN,WR,CLE,24,16,6.2,WR42,237
238,Darqueze Dennard,CIN,CB,CLE,24,null,6.19,DB20,238
238,Jamison Crowder,WAS,WR,TEN,3,22,6.19,WR43,238
240,Kenny Stills,MIA,WR,JAX,6,1,6.16,WR44,240
240,Corey Thompson,BUF,OLB,NE,21,null,6.16,LB43,240
242,Golden Tate,PHI,WR,HOU,10,9,6.15,WR45,242
242,Kenny Young,BAL,OLB,LAC,8,null,6.15,LB44,242
244,Brandon Graham,PHI,DE,HOU,10,null,6.14,DL8,244
244,Budda Baker,ARI,SS,LAR,20,null,6.14,DB21,244
246,Terrance Mitchell,CLE,CB,CIN,32,null,6.13,DB22,246
247,Trey Flowers,NE,DE,BUF,4,null,6.1,DL9,247
247,Baltimore Ravens,BAL,DST,LAC,null,null,6.1,DST22,247
249,Ha'Sean Clinton-Dix,WAS,FS,TEN,3,null,6.09,DB23,249
249,Tyrell Williams,LAC,WR,BAL,1,5,6.09,WR46,249
249,Jalen Richard,OAK,RB,DEN,20,16,6.09,RB38,249
249,Chris Godwin,TB,WR,DAL,7,4,6.09,WR47,249
249,Curtis Samuel,CAR,WR,ATL,27,27,6.09,WR48,249
254,Tre Boston,ARI,FS,LAR,20,null,6.08,DB24,254
255,Benardrick McKinney,HOU,ILB,PHI,25,null,6.07,LB45,255
255,Antonio Callaway,CLE,WR,CIN,32,19,6.07,WR49,255
257,Quandre Diggs,DET,SS,MIN,5,null,6.05,DB25,257
257,Deforest Buckner,SF,DT,CHI,2,null,6.05,DL10,257
259,Dustin Hopkins,WAS,K,TEN,3,8,6.04,K31,259
259,Romeo Okwara,DET,DE,MIN,5,null,6.04,DL11,259
259,Chidobe Awuzie,DAL,CB,TB,30,null,6.04,DB26,259
262,Raekwon McMillan,MIA,ILB,JAX,6,null,6.03,LB46,262
263,Randy Bullock,CIN,K,CLE,24,24,6.02,K32,263
263,Eric Reid,CAR,SS,ATL,27,null,6.02,DB27,263
265,Eli Apple,NO,CB,PIT,14,null,5.98,DB28,265
266,Chandler Jones,ARI,DE,LAR,20,null,5.94,DL12,266
267,Preston Smith,WAS,OLB,TEN,3,null,5.92,LB47,267
268,Detroit Lions,DET,DST,MIN,null,null,5.9,DST23,268
268,Washington Redskins,WAS,DST,TEN,null,null,5.9,DST24,268
270,Mario Addison,CAR,DE,ATL,27,null,5.89,DL13,270
271,Adam Humphries,TB,WR,DAL,7,4,5.88,WR50,271
271,Vonn Bell,NO,SS,PIT,14,null,5.88,DB29,271
271,Damontae Kazee,ATL,SS,CAR,22,null,5.88,DB30,271
271,Jaire Alexander,GB,CB,NYJ,23,null,5.88,DB31,271
275,Michael Thomas,NYG,SS,IND,9,null,5.86,DB32,275
275,Anthony Barr,MIN,OLB,DET,16,null,5.86,LB48,275
277,Theo Riddick,DET,RB,MIN,5,10,5.85,RB39,277
278,Cameron Jordan,NO,DE,PIT,14,null,5.81,DL14,278
278,Kyler Fackrell,GB,OLB,NYJ,23,null,5.81,LB49,278
280,Adrian Phillips,LAC,SS,BAL,1,null,5.8,DB33,280
280,Tampa Bay Buccaneers,TB,DST,DAL,null,null,5.8,DST25,280
280,Oakland Raiders,OAK,DST,DEN,null,null,5.8,DST26,280
283,Donte Jackson,CAR,CB,ATL,27,null,5.79,DB34,283
284,Trumaine Johnson,NYJ,CB,GB,18,null,5.78,DB35,284
285,Tony Jefferson,BAL,SS,LAC,8,null,5.77,DB36,285
285,Zay Jones,BUF,WR,NE,21,11,5.77,WR51,285
287,Eric Weddle,BAL,FS,LAC,8,null,5.75,DB37,287
287,Marshon Lattimore,NO,CB,PIT,14,null,5.75,DB38,287
287,Isaiah McKenzie,BUF,WR,NE,21,11,5.75,WR52,287
290,B.J. Hill,NYG,DE,IND,9,null,5.74,DL15,290
291,Kevin Byard,TEN,FS,WAS,12,null,5.72,DB39,291
292,Kareem Jackson,HOU,CB,PHI,25,null,5.71,DB40,292
293,Carlos Dunlap,CIN,DE,CLE,24,null,5.7,DL16,293
293,DJ Swearinger,WAS,FS,TEN,3,null,5.7,DB41,293
293,David Moore,SEA,WR,KC,31,17,5.7,WR53,293
296,Geno Atkins,CIN,DT,CLE,24,null,5.69,DL17,296
296,Darius Slay,DET,CB,MIN,5,null,5.69,DB42,296
296,Minkah Fitzpatrick,MIA,SS,JAX,6,null,5.69,DB43,296
299,Trenton Cannon,NYJ,RB,GB,18,19,5.68,RB40,299
300,Janoris Jenkins,NYG,CB,IND,9,null,5.67,DB44,300
